,Fake Fund Managers S&P 500 ETF,S&P 500 Index
2021-08-01,0.0332440626841208,0.0304056567
2021-09-01,-0.0472386314799907,-0.0465097790999999
2021-10-01,0.070673128063155,0.0700617878000001
2021-11-01,-0.00304984047126844,-0.00692895370000013
2021-12-01,0.0402027451750331,0.0448161315999998
2022-01-01,-0.0514163308477942,-0.0517470415999998
2022-02-01,-0.0309467835419509,-0.0299414499
2022-03-01,0.0340075313700159,0.0371295295999998
2022-04-01,-0.09002834178020758,-0.0872018326999999
2022-05-01,0.009540077161419358,0.00183461669999985
2022-06-01,-0.07997718762287997,-0.08254376320000001
2022-07-01,0.09096815577321227,0.09220445579999992
2022-08-01,-0.046043288858658826,-0.040781878999999854
2022-09-01,-0.10009993234907266,-0.09209863140000007
2022-10-01,0.09368715240466252,0.08096135819999994
2022-11-01,0.0700720112981783,0.05588402270000015
2022-12-01,-0.06726379218104717,-0.057614487099999945
2023-01-01,0.05887350352989773,0.06283391829999996
2023-02-01,-0.02751973828755816,-0.024398955200000016
2023-03-01,0.0387733760421074,0.036714229499999806
2023-04-01,0.01780830843471537,0.015608452699999775
2023-05-01,0.00795423410249163,0.0043466614000000625
2023-06-01,0.06258352221248442,0.06607527099999966
2023-07-01,0.02862869380444133,0.032124955900000085
2023-08-01,-0.012888794855491437,-0.015921529400000245
2023-09-01,-0.05070785972200398,-0.047677910799999945
2023-10-01,-0.018049429405213147,-0.021026537900000197
2023-11-01,0.08658585629999838,0.09132540639999998
2023-12-01,0.047654153343384076,0.04543061380000002
2024-01-01,0.010349316878404125,0.016804263899999894
2024-02-01,0.058746397458100175,0.05339560929999987
2024-03-01,0.0326731345338378,0.03217459399999978
2024-04-01,-0.04343109419811608,-0.04084455499999984
2024-05-01,0.055562348066630074,0.04958467110000009
2024-06-01,0.0347499175347763,0.035882096400000174
2024-07-01,0.013587287877900867,0.012172377800000023
2024-08-01,0.021393063667097367,0.024256699599999987
